,district,vendor,price,pricePerMeter,originalFlatId,area,market,floatFloor,roomsNumber,buildingMaterial,constructionYear,heating,condition,floorsNumber,availableDate,typeOfBuilding,elevator,snapshotDate
845,Bemowo,https://www.otodom.pl/shop/freedom-nieruchomosci-franczyza-IDh1mU/,719000,9716,4bjLj,74,wtórny,1,4,wielka płyta,1983,miejskie,do wykończenia,10,2021-02-17,blok,yes,2021-05-29
846,Praga-Południe,https://www.otodom.pl/shop/freedom-nieruchomosci-franczyza-IDh1mU/,899000,9365,47nB6,96,wtórny,8,5,wielka płyta,1993,miejskie,do remontu,9,2021-02-17,blok,yes,2021-05-29
847,Bielany,nieznany,246000,4339,4bs41,"56,70",wtórny,10,3,wielka płyta,1981,nieznane,nieznany,0,2021-02-17,blok,yes,2021-05-29
848,Wola,nieznany,599000,17504,4ahJX,"34,22",wtórny,3,1,pustak,2020,miejskie,do zamieszkania,10,2021-02-17,apartamentowiec,yes,2021-05-29
849,Targówek,https://www.otodom.pl/shop/freedom-nieruchomosci-franczyza-IDh1mU/,449000,9795,4b4t0,"45,84",wtórny,2,2,nieznany,2005,gazowe,do zamieszkania,4,2021-02-17,blok,yes,2021-05-29
850,Śródmieście,https://www.otodom.pl/shop/freedom-nieruchomosci-franczyza-IDh1mU/,595000,16081,4boHh,37,wtórny,7,2,wielka płyta,1970,miejskie,do zamieszkania,14,2021-02-17,blok,yes,2021-05-29
851,Wola,nieznany,649000,18966,4am5u,"34,22",wtórny,0,2,nieznany,2020,nieznane,nieznany,0,2021-02-17,nieznany,yes,2021-05-29
852,Targówek,https://bestdeal.otodom.pl,685000,9991,48I4u,"68,56",wtórny,1,3,cegła,2018,miejskie,do zamieszkania,3,2021-02-17,blok,yes,2021-05-29
853,Śródmieście,https://www.otodom.pl/shop/piorek-house-IDi7DK/,720000,18701,4bJT4,"38,50",wtórny,4,1,nieznany,1951,miejskie,nieznany,4,2021-02-17,kamienica,yes,2021-05-29
854,Bemowo,https://www.otodom.pl/shop/piorek-house-IDi7DK/,828000,11795,4bJT3,"70,20",wtórny,6,4,nieznany,1970,miejskie,nieznany,10,2021-02-17,blok,yes,2021-05-29
855,Praga-Południe,https://bestdeal.otodom.pl,389000,11441,4bwwg,34,wtórny,parter,2,wielka płyta,1970,miejskie,do zamieszkania,4,2021-02-17,blok,yes,2021-05-29
856,Ursus,https://primowarszawa.otodom.pl,490000,10889,4bJT0,45,wtórny,2,2,cegła,2002,miejskie,do zamieszkania,6,2021-02-17,blok,yes,2021-05-29
857,Wawer,https://www.otodom.pl/shop/piorek-house-IDi7DK/,850000,5763,4bJSY,"147,49",wtórny,1,5,nieznany,2020,gazowe,do wykończenia,2,2021-02-17,apartamentowiec,yes,2021-05-29
858,Śródmieście,https://N-plus.otodom.pl,1440000,23988,4bJSI,"60,03",wtórny,1,3,nieznany,2021,miejskie,do wykończenia,6,2021-02-17,apartamentowiec,yes,2021-05-29
859,Żoliborz,https://www.otodom.pl/shop/anna-zaremska-nieruchomosci-IDpfHK/,765000,12182,4bJyd,"62,80",wtórny,1,3,nieznany,2021,miejskie,do zamieszkania,10,2021-02-17,blok,yes,2021-05-29
860,Praga-Południe,https://www.otodom.pl/shop/anna-zaremska-nieruchomosci-IDpfHK/,598000,10289,4bJvV,"58,12",wtórny,2,3,cegła,1938,miejskie,do wykończenia,3,2021-02-17,kamienica,yes,2021-05-29
861,Mokotów,nieznany,680000,11184,4bJRz,"60,80",wtórny,> 10,3,wielka płyta,1978,miejskie,do remontu,12,2021-02-17,blok,yes,2021-05-29
862,Śródmieście,https://www.otodom.pl/shop/i-deal-IDqDoZ/,555000,13875,4bJSa,40,wtórny,8,2,wielka płyta,1972,miejskie,do zamieszkania,15,2021-02-17,blok,yes,2021-05-29
863,Wola,https://www.otodom.pl/shop/i-deal-IDqDoZ/,333000,11935,4bJS9,"27,90",wtórny,1,1,cegła,1963,miejskie,do zamieszkania,4,2021-02-17,nieznany,yes,2021-05-29
864,Bielany,https://www.otodom.pl/shop/home-4-you-ID3tK5/,750000,11029,4bJRA,68,wtórny,2,3,nieznany,2001,nieznane,nieznany,4,2021-02-17,nieznany,yes,2021-05-29
865,Bielany,https://www.otodom.pl/shop/freedom-nieruchomosci-franczyza-IDh1mU/,579000,10966,4b2ox,"52,80",wtórny,3,3,cegła,1968,miejskie,do remontu,4,2021-02-17,blok,yes,2021-05-29
866,Białołęka,https://www.otodom.pl/shop/freedom-nieruchomosci-franczyza-IDh1mU/,579000,9220,4bgKz,"62,80",wtórny,2,3,wielka płyta,2021,nieznane,do zamieszkania,3,2021-02-17,blok,yes,2021-05-29
867,Rembertów,https://www.otodom.pl/shop/daniel-brod-IDilsg/,459566,6850,4bJRs,"67,09",pierwotny,1,4,nieznany,2021,nieznane,nieznany,5,2021-02-17,blok,yes,2021-05-29
868,Mokotów,https://bialelwy.otodom.pl,1498000,9547,4bJQU,"156,91",wtórny,6,4,nieznany,2008,nieznane,do zamieszkania,7,"<div aria-label=""Dostępne od"" class=""css-18h1kfv ev4i3ak3"" role=""region""><div class=""css-o4i8bk ev4i3ak2"" title=""Dostępne od"">Dostępne od<!-- -->:</div><div class=""css-1ytkscc ev4i3ak0"" title=""2021-05-25"">2021-05-25</div></div>",nieznany,yes,2021-05-29
869,Praga-Południe,https://home4warszawa.otodom.pl,826754,10997,4bJQX,"75,18",pierwotny,1,3,nieznany,2022,nieznane,nieznany,5,2021-02-17,nieznany,yes,2021-05-29
870,Praga-Południe,https://home4warszawa.otodom.pl,"442167,88",13051,4bJQV,"33,88",pierwotny,1,1,nieznany,2022,nieznane,nieznany,5,2021-02-17,nieznany,yes,2021-05-29
871,Bemowo,https://www.otodom.pl/shop/piorek-house-IDi7DK/,360000,12766,4bJQO,"28,20",wtórny,3,1,nieznany,2021,miejskie,nieznany,13,2021-02-17,apartamentowiec,yes,2021-05-29
872,Białołęka,https://www.otodom.pl/shop/kodit-io-polska-sp-z-o-o-IDv4pd/,940000,7642,4bq82,123,wtórny,3,4,cegła,2002,miejskie,do zamieszkania,4,2021-02-17,apartamentowiec,yes,2021-05-29
873,Wilanów,https://www.otodom.pl/shop/kodit-io-polska-sp-z-o-o-IDv4pd/,549000,10531,4bCRC,"52,13",wtórny,5,3,wielka płyta,1978,gazowe,do remontu,9,2021-02-17,nieznany,yes,2021-05-29
874,Wola,https://www.otodom.pl/shop/kodit-io-polska-sp-z-o-o-IDv4pd/,497000,9974,4bE6d,"49,83",wtórny,0,3,wielka płyta,1972,miejskie,do remontu,9,2021-02-17,blok,yes,2021-05-29
875,Włochy,https://www.otodom.pl/shop/kodit-io-polska-sp-z-o-o-IDv4pd/,515000,10619,4bGdV,"48,50",wtórny,1,3,nieznany,1970,nieznane,do remontu,4,2021-02-17,blok,yes,2021-05-29
876,Ursus,https://www.otodom.pl/shop/kodit-io-polska-sp-z-o-o-IDv4pd/,520000,9425,4bGfR,"55,17",wtórny,4,2,cegła,1961,miejskie,do zamieszkania,5,2021-02-17,nieznany,yes,2021-05-29
877,Ursynów,https://www.otodom.pl/shop/kodit-io-polska-sp-z-o-o-IDv4pd/,458000,12305,4bHVZ,"37,22",wtórny,5,1,cegła,2000,miejskie,do remontu,6,2021-02-17,apartamentowiec,yes,2021-05-29
878,Białołęka,https://www.otodom.pl/shop/kodit-io-polska-sp-z-o-o-IDv4pd/,365000,10761,4bIsr,"33,92",wtórny,1,2,żelbet,2004,miejskie,do zamieszkania,5,2021-02-17,nieznany,yes,2021-05-29
