129;Bacht sp. z o.o.;2019-05-13;Bohaterów Warszawy 26/91;mazowieckie;02-495;Warszawa;https://www.otodom.pl/shop/bacht-sp-z-o-o-IDq6W2/;0;Bohaterów Warszawy;26/91
130;Baobab Nieruchomości;2019-01-10;Czerska;mazowieckie;00-732;Warszawa;https://www.otodom.pl/shop/baobab-nieruchomosci-IDn9xK/;0;Czerska;
131;BarTer Home;2018-09-27;Ordona 7B;mazowieckie;01-237;Warszawa;https://www.otodom.pl/shop/barter-home-IDl5CE/;0;Ordona;7B
132;BASTION NIERUCHOMOŚCI;2013-05-07;Nowogrodzka 50 lok.515;mazowieckie;00-695;Warszawa;https://bastion.otodom.pl;0;Nowogrodzka;50 lok.515
133;BDI Development II Sp. z o.o.;2017-11-30;Postępu 14;mazowieckie;02-676;Warszawa;https://www.otodom.pl/shop/bdi-development-ii-sp-z-o-o-IDe3na/;0;Postępu;14
134;BEA Royal-Estate;2021-02-19;Rosy 1F;mazowieckie;02-996;Warszawa;https://www.otodom.pl/shop/bea-royal-estate-IDx0m2/;0;Rosy;1F
135;Bedhouse Tomasz Bednarz;2020-05-08;Aleja Komisji Edukacji Narodowej 36 lok. 112B;mazowieckie;02-797;Warszawa;https://www.otodom.pl/shop/bedhouse-tomasz-bednarz-IDw2G9/;0;Aleja Komisji Edukacji Narodowej;36 lok. 112B
136;Belsaldo;2015-08-31;Obrzeżna 5B/15;mazowieckie;02-691;Warszawa;https://belsaldo.otodom.pl;0;Obrzeżna;5B/15
137;BERED Nieruchomości;2020-09-18;Złota 7 m 18;mazowieckie;00-019;Warszawa;https://www.otodom.pl/shop/bered-nieruchomosci-IDv0Rl/;0;Złota;7 m 18
138;Berg Capital;2017-02-24;Marszałkowska 111;mazowieckie;00-102;Warszawa;https://BergCapital.otodom.pl;0;Marszałkowska;111
139;BESSO ESTATE;2021-01-15;Chmielna 2/31;mazowieckie;00-020;Warszawa;https://www.otodom.pl/shop/besso-estate-IDvGXG/;0;Chmielna;2/31
140;BestProperty Katarzyna Kokosza;2019-03-21;Lwowska 10 lok 29;mazowieckie;00-658;Warszawa;https://www.otodom.pl/shop/bestproperty-katarzyna-kokosza-IDnv80/;0;Lwowska;10 lok 29
141;BESTRE.PL;2019-03-01;Miła 25/52;mazowieckie;01-033;Warszawa;https://www.otodom.pl/shop/bestre-pl-IDmqPO/;0;Miła;25/52
142;BEST DEAL Nieruchomości;2019-06-28;Czerniakowska;mazowieckie;00-718;Warszawa;https://bestdeal.otodom.pl;0;Czerniakowska;
143;Best Nieruchomości Sp. z o.o.;2021-03-31;Al. Jerozolimskie 117;mazowieckie;02-017;Warszawa;https://www.otodom.pl/shop/best-nieruchomosci-sp-z-o-o-IDxgZb/;0;Al. Jerozolimskie;117
144;Better Estates Biuro Sprzedaży Nieruchomości;2020-04-23;Gościniec 112;mazowieckie;05-075;Warszawa;https://www.otodom.pl/shop/better-estates-biuro-sprzedazy-nieruchomosci-IDuVBR/;0;Gościniec;112
145;Better Place Nieruchomości Małgorzata Hunkiewicz;2015-04-29;Better Place Nieruchomości;mazowieckie;03-966;Warszawa;https://betterplace.otodom.pl;0;;
146;BETZ PRZYJAZNE NIERUCHOMOŚCI;2015-05-09;Kadrowa;mazowieckie;04-421;Warszawa;https://betz-nieruchomosci.otodom.pl;0;Kadrowa;
147;Bezpośrednio deweloper;2018-03-14;Radzymińska 326;mazowieckie;05-091;Warszawa;https://www.otodom.pl/shop/bezposrednio-deweloper-IDggJ1/;0;Radzymińska;326
148;Bez prowizji;2016-02-02;Warszawa, Postępu 15;mazowieckie;02-676;Warszawa;https://www.otodom.pl/shop/bez-prowizji-ID5v1R/;0;Warszawa, Postępu;15
